,Enzyme Common Name,,EnzymeId,BioCyn ID
13077,ORF,primary,,FBGN0033135-MONOMER
13078,gamma-tubulin binding//microtubule binding//microtubule minus-end binding//tubulin binding,primary,,FBGN0026430-MONOMER
13079,DNA binding,primary,,FBGN0085444-MONOMER
13080,phosphoglycerate kinase activity,primary,1249,FBGN0250906-MONOMER
13081,ORF,primary,,FBGN0051415-MONOMER
13082,ORF,primary,,FBGN0036871-MONOMER
13083,phospholipase C activity,primary,1082,FBGN0036836-MONOMER
13084,mRNA binding//nucleic acid binding,primary,,FBGN0010254-MONOMER
13085,ORF,primary,,FBGN0031490-MONOMER
13086,serine-type endopeptidase activity,primary,,FBGN0028864-MONOMER
13087,acylphosphatase activity,primary,480,FBGN0025115-MONOMER
13088,ORF,primary,,FBGN0038682-MONOMER
13089,enzyme inhibitor activity,primary,,FBGN0040660-MONOMER
13090,ORF,primary,,FBGN0033962-MONOMER
13091,ORF,primary,,FBGN0035877-MONOMER
13092,ORF,primary,,FBGN0085601-MONOMER
13093,ATP-dependent DNA helicase activity,primary,641,FBGN0010421-MONOMER
13094,adenosine deaminase activity,primary,115,FBGN0038173-MONOMER
13095,ORF,primary,,FBGN0037827-MONOMER
13096,protein binding//electron carrier activity//RNA polymerase II transcription factor activity//transcription factor activity//single-stranded DNA binding//zinc ion binding,primary,,FBGN0001978-MONOMER
13097,ion channel activity,primary,,FBGN0051284-MONOMER
13098,ORF,primary,,FBGN0036492-MONOMER
13099,calcium ion binding,primary,,FBGN0034592-MONOMER
13100,protein binding//zinc ion binding,primary,,FBGN0038628-MONOMER
13101,copper ion binding//metal ion binding,primary,,FBGN0002869-MONOMER
13102,ORF,primary,,FBGN0027376-MONOMER
13103,protein binding//nucleic acid binding,primary,,FBGN0040466-MONOMER
13104,beta-catenin binding//protein binding,primary,,FBGN0039907-MONOMER
13105,protein transporter activity,primary,,FBGN0010638-MONOMER
13106,actin binding,primary,,FBGN0004143-MONOMER
13107,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0031182-MONOMER
13108,binding,primary,,FBGN0031273-MONOMER
13109,carbonate dehydratase activity,primary,168,FBGN0040629-MONOMER
13110,P-P-bond-hydrolysis-driven protein transmembrane transporter activity//protein transporter activity,primary,,FBGN0031049-MONOMER
13111,GTPase activity,primary,1171,FBGN0035866-MONOMER
13112,ATP-dependent DNA helicase activity,primary,641,FBGN0003227-MONOMER
13113,calmodulin inhibitor activity,primary,,FBGN0000060-MONOMER
13114,ORF,primary,,FBGN0037500-MONOMER
13115,nucleic acid binding,primary,,FBGN0003977-MONOMER
13116,ubiquitin-protein ligase activity,primary,1480,FBGN0028467-MONOMER
13117,DNA-directed RNA polymerase activity,primary,1393,FBGN0036188-MONOMER
13118,glycerol-3-phosphate O-acyltransferase activity,primary,342,FBGN0027579-MONOMER
13119,peptidase activity,primary,,FBGN0052413-MONOMER
13120,tRNA-pseudouridine synthase activity,primary,1405,FBGN0034703-MONOMER
13121,ORF,primary,,FBGN0031747-MONOMER
13122,ORF,primary,,FBGN0051041-MONOMER
13123,ORF,primary,,FBGN0034099-MONOMER
13124,ORF,primary,,FBGN0259163-MONOMER
13125,voltage-gated sodium channel activity,primary,,FBGN0003710-MONOMER
13126,5'-3' exoribonuclease activity//nucleic acid binding,primary,,FBGN0020261-MONOMER
13127,ORF,primary,,FBGN0037050-MONOMER
13128,sequence-specific DNA binding//transcription factor activity,primary,,FBGN0034821-MONOMER
13129,protein binding,primary,,FBGN0025637-MONOMER
13130,ORF,primary,,FBGN0085516-MONOMER
13131,glutamyl aminopeptidase activity,primary,1339,FBGN0038136-MONOMER
13132,amine receptor activity//adrenoceptor activity//octopamine receptor activity,primary,,FBGN0038980-MONOMER
13133,ORF,primary,,FBGN0032523-MONOMER
13134,zinc ion binding,primary,,FBGN0030316-MONOMER
13135,"ATPase activity, coupled to transmembrane movement of substances",primary,641,FBGN0036747-MONOMER
13136,ORF,primary,,FBGN0051207-MONOMER
13137,protein serine/threonine kinase activity,primary,1451,FBGN0030697-MONOMER
13138,protein binding//heparin binding//protein homodimerization activity//hedgehog receptor activity,primary,,FBGN0031872-MONOMER
13139,ORF,primary,,FBGN0033789-MONOMER
13140,ORF,primary,,FBGN0259223-MONOMER
13141,ORF,primary,,FBGN0069961-MONOMER
13142,ORF,primary,,FBGN0052793-MONOMER
13143,DNA-directed RNA polymerase activity,primary,1393,FBGN0038903-MONOMER
13144,triacylglycerol lipase activity,primary,309,FBGN0038067-MONOMER
13145,legumain activity,primary,515,FBGN0023545-MONOMER
13146,nucleic acid binding,primary,,FBGN0038273-MONOMER
13147,chitinase activity,primary,1336,FBGN0038180-MONOMER
13148,protein binding,primary,,FBGN0033369-MONOMER
13149,ORF,primary,,FBGN0037680-MONOMER
13150,DNA binding,primary,,FBGN0043883-MONOMER
13151,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0002284-MONOMER
13152,ORF,primary,,FBGN0054046-MONOMER
13153,ORF,primary,,FBGN0039882-MONOMER
13154,transporter activity,primary,,FBGN0035763-MONOMER
13155,ORF,primary,,FBGN0035102-MONOMER
13156,ORF,primary,,FBGN0042199-MONOMER
13157,trypsin activity,primary,823,FBGN0030925-MONOMER
13158,ORF,primary,,FBGN0035765-MONOMER
13159,structural constituent of ribosome,primary,,FBGN0034001-MONOMER
13160,ATPase activity,primary,641,FBGN0005322-MONOMER
13161,microtubule binding//GTP binding,primary,,FBGN0021760-MONOMER
13162,ORF,primary,,FBGN0051538-MONOMER
13163,ORF,primary,,FBGN0035959-MONOMER
13164,DNA binding,primary,,FBGN0250754-MONOMER
13165,ORF,primary,,FBGN0032390-MONOMER
13166,nucleotide binding//mRNA binding//RNA binding,primary,,FBGN0034834-MONOMER
13167,low-density lipoprotein receptor activity,primary,,FBGN0013991-MONOMER
13168,ORF,primary,,FBGN0030028-MONOMER
13169,mitochondrial processing peptidase activity,primary,882,FBGN0033235-MONOMER
13170,ORF,primary,,FBGN0034056-MONOMER
13171,olfactory receptor activity//odorant binding,primary,,FBGN0036709-MONOMER
13172,catalytic activity,primary,,FBGN0032967-MONOMER
13173,transporter activity,primary,,FBGN0037840-MONOMER
13174,ORF,primary,,FBGN0037753-MONOMER
13175,zinc ion binding//nucleic acid binding,primary,,FBGN0032979-MONOMER
13176,"ATPase activity, coupled",primary,641,FBGN0015754-MONOMER
13177,ORF,primary,,FBGN0032663-MONOMER
13178,ORF,primary,,FBGN0038948-MONOMER
13179,"ATPase activity, coupled",primary,641,FBGN0086783-MONOMER
13180,long-chain-fatty-acid-CoA ligase activity,primary,987,FBGN0027348-MONOMER
13181,ORF,primary,,FBGN0033031-MONOMER
13182,ORF,primary,,FBGN0026874-MONOMER
13183,oxygen transporter activity,primary,,FBGN0002564-MONOMER
13184,ORF,primary,,FBGN0030101-MONOMER
13185,ORF,primary,,FBGN0034897-MONOMER
13186,L-ascorbate:sodium symporter activity,primary,,FBGN0037807-MONOMER
13187,DNA binding//RNA polymerase II transcription factor activity,primary,,FBGN0020379-MONOMER
13188,alpha-glucosidase activity,primary,40,FBGN0033294-MONOMER
13189,ORF,primary,,FBGN0085261-MONOMER
13190,structural constituent of cytoskeleton//actin binding,primary,,FBGN0085446-MONOMER
13191,structural constituent of ribosome,primary,,FBGN0030686-MONOMER
13192,microtubule binding//cytoskeletal protein binding//actin binding,primary,,FBGN0004167-MONOMER
13193,FMN adenylyltransferase activity,primary,968,FBGN0030431-MONOMER
13194,ORF,primary,,FBGN0034467-MONOMER
13195,secondary active organic cation transmembrane transporter activity,primary,,FBGN0038720-MONOMER
13196,ORF,primary,,FBGN0037017-MONOMER
13197,ORF,primary,,FBGN0031128-MONOMER
13198,zinc ion binding,primary,,FBGN0026160-MONOMER
13199,translation initiation factor activity,primary,,FBGN0022023-MONOMER
13200,ubiquitin thiolesterase activity,primary,1532,FBGN0029819-MONOMER
13201,ORF,primary,,FBGN0053509-MONOMER
13202,nucleic acid binding,primary,,FBGN0034002-MONOMER
13203,ORF,primary,,FBGN0030158-MONOMER
13204,ORF,primary,,FBGN0053284-MONOMER
13205,protein binding,primary,,FBGN0033920-MONOMER
13206,ORF,primary,,FBGN0035936-MONOMER
13207,nucleotide binding,primary,,FBGN0036356-MONOMER
13208,sequence-specific DNA binding//transcription factor activity,primary,,FBGN0004897-MONOMER
13209,UDP-galactose transmembrane transporter activity,primary,,FBGN0250820-MONOMER
13210,ORF,primary,,FBGN0037631-MONOMER
13211,taste receptor activity,primary,,FBGN0041214-MONOMER
13212,chromatin binding,primary,,FBGN0004400-MONOMER
13213,ORF,primary,,FBGN0037174-MONOMER
13214,ORF,primary,,FBGN0029887-MONOMER
13215,ORF,primary,,FBGN0040390-MONOMER
13216,nucleic acid binding//endonuclease activity,primary,,FBGN0036833-MONOMER
13217,ORF,primary,,FBGN0030459-MONOMER
13218,zinc ion binding,primary,,FBGN0038551-MONOMER
13219,ORF,primary,,FBGN0052971-MONOMER
13220,ligand-gated ion channel activity//extracellular-glycine-gated ion channel activity//neurotransmitter receptor activity//GABA-A receptor activity//extracellular ligand-gated ion channel activity,primary,,FBGN0001134-MONOMER
13221,ubiquinol-cytochrome-c reductase activity,primary,1537,FBGN0036728-MONOMER
13222,ORF,primary,,FBGN0053666-MONOMER
13223,ORF,primary,,FBGN0035857-MONOMER
13224,fatty-acid synthase activity,primary,264,FBGN0022805-MONOMER
13225,membrane alanyl aminopeptidase activity,primary,1041,FBGN0015541-MONOMER
13226,4-coumarate-CoA ligase activity,primary,261,FBGN0035641-MONOMER
13227,hormone activity//neuropeptide hormone activity,primary,,FBGN0038901-MONOMER
13228,catalytic activity,primary,,FBGN0035642-MONOMER
13229,structural constituent of chitin-based cuticle,primary,,FBGN0033729-MONOMER
13230,DNA binding,primary,1471,FBGN0010825-MONOMER
13231,ORF,primary,,FBGN0032110-MONOMER
13232,ORF,primary,,FBGN0051296-MONOMER
13233,nucleic acid binding,primary,,FBGN0039977-MONOMER
13234,taste receptor activity,primary,,FBGN0045469-MONOMER
13235,ORF,primary,,FBGN0051882-MONOMER
13236,high affinity inorganic phosphate:sodium symporter activity,primary,,FBGN0033234-MONOMER
13237,electron carrier activity//copper ion binding,primary,,FBGN0000057-MONOMER
13238,DNA binding//protein binding//zinc ion binding,primary,,FBGN0037659-MONOMER
13239,alkaline phosphatase activity,primary,675,FBGN0035620-MONOMER
13240,ORF,primary,,FBGN0025712-MONOMER
13241,transporter activity,primary,,FBGN0031636-MONOMER
13242,cAMP-dependent protein kinase regulator activity,primary,,FBGN0038000-MONOMER
13243,protein binding,primary,,FBGN0031834-MONOMER
13244,translation activator activity,primary,,FBGN0039959-MONOMER
13245,methyltransferase activity,primary,,FBGN0037822-MONOMER
13246,cholesterol binding,primary,,FBGN0035028-MONOMER
13247,DNA binding,primary,,FBGN0039283-MONOMER
13248,ORF,primary,,FBGN0036583-MONOMER
13249,ORF,primary,,FBGN0250851-MONOMER
13250,ORF,primary,,FBGN0031659-MONOMER
13251,polynucleotide adenylyltransferase activity,primary,1387,FBGN0030353-MONOMER
13252,transcription factor activity,primary,,FBGN0032291-MONOMER
13253,asparagine-tRNA ligase activity,primary,1424,FBGN0086443-MONOMER
13254,ORF,primary,,FBGN0058198-MONOMER
13255,structural molecule activity,primary,,FBGN0024754-MONOMER
13256,ORF,primary,,FBGN0037406-MONOMER
13257,ATP-dependent DNA helicase activity,primary,641,FBGN0002901-MONOMER
13258,ORF,primary,,FBGN0051149-MONOMER
13259,strictosidine synthase activity,primary,283,FBGN0015737-MONOMER
13260,ORF,primary,,FBGN0259677-MONOMER
13261,histone demethylase activity (H3-K36 specific),primary,126,FBGN0053182-MONOMER
13262,general RNA polymerase II transcription factor activity,primary,,FBGN0013347-MONOMER
13263,"dTDP-glucose 4,6-dehydratase activity",primary,711,FBGN0035848-MONOMER
13264,lysozyme activity,primary,1336,FBGN0004427-MONOMER
13265,protein binding,primary,,FBGN0020257-MONOMER
13266,L-iditol 2-dehydrogenase activity,primary,380,FBGN0022359-MONOMER
13267,ORF,primary,,FBGN0040929-MONOMER
13268,transcription factor activity//zinc ion binding,primary,,FBGN0004880-MONOMER
13269,ORF,primary,,FBGN0013433-MONOMER
13270,phosphatidylcholine-sterol O-acyltransferase activity,primary,153,FBGN0051683-MONOMER
13271,ORF,primary,,FBGN0034987-MONOMER
13272,transcription factor activity//zinc ion binding,primary,,FBGN0259172-MONOMER
13273,ORF,primary,,FBGN0034325-MONOMER
13274,ORF,primary,,FBGN0085527-MONOMER
13275,ORF,primary,,FBGN0053324-MONOMER
13276,binding//catalytic activity,primary,,FBGN0034142-MONOMER
13277,small GTPase regulator activity,primary,,FBGN0038593-MONOMER
13278,ORF,primary,,FBGN0053217-MONOMER
13279,protein serine/threonine kinase activity,primary,1451,FBGN0034376-MONOMER
13280,ORF,primary,,FBGN0028904-MONOMER
13281,GTPase activity,primary,1171,FBGN0036497-MONOMER
13282,ORF,primary,,FBGN0039681-MONOMER
13283,zinc ion binding//nucleic acid binding,primary,,FBGN0069342-MONOMER
13284,metallopeptidase activity//zinc ion binding,primary,,FBGN0032469-MONOMER
13285,GTPase activity,primary,1171,FBGN0037754-MONOMER
13286,ORF,primary,,FBGN0002527-MONOMER
13287,protein binding//transcription factor activity//chromatin insulator sequence binding//zinc ion binding,primary,,FBGN0000520-MONOMER
13288,ORF,primary,,FBGN0040362-MONOMER
13289,ORF,primary,,FBGN0050044-MONOMER
13290,citrate transmembrane transporter activity,primary,,FBGN0036329-MONOMER
13291,ORF,primary,,FBGN0054016-MONOMER
13292,ORF,primary,,FBGN0039451-MONOMER
13293,DNA binding,primary,,FBGN0035160-MONOMER
13294,GTP cyclohydrolase I activity,primary,1106,FBGN0003162-MONOMER
13295,membrane alanyl aminopeptidase activity,primary,1041,FBGN0051343-MONOMER
13296,glucose-6-phosphate dehydrogenase activity,primary,579,FBGN0037147-MONOMER
13297,binding,primary,,FBGN0034641-MONOMER
13298,ORF,primary,,FBGN0020439-MONOMER
13299,G-protein coupled receptor activity//taste receptor activity,primary,,FBGN0046687-MONOMER
13300,ORF,primary,,FBGN0051495-MONOMER
13301,ORF,primary,,FBGN0051164-MONOMER
13302,ORF,primary,,FBGN0052248-MONOMER
13303,DNA binding,primary,,FBGN0053836-MONOMER
13304,polypeptide N-acetylgalactosaminyltransferase activity,primary,678,FBGN0031530-MONOMER
13305,ORF,primary,,FBGN0037856-MONOMER
13306,cyclin-dependent protein kinase regulator activity//general RNA polymerase II transcription factor activity,primary,,FBGN0022936-MONOMER
13307,ORF,primary,,FBGN0037427-MONOMER
13308,cysteine protease inhibitor activity,primary,,FBGN0051313-MONOMER
13309,ORF,primary,,FBGN0032724-MONOMER
13310,ORF,primary,,FBGN0085682-MONOMER
13311,ORF,primary,,FBGN0034022-MONOMER
13312,elastase activity,primary,1328,FBGN0031653-MONOMER
13313,ORF,primary,,FBGN0052813-MONOMER
13314,secondary active monocarboxylate transmembrane transporter activity,primary,,FBGN0034063-MONOMER
13315,ORF,primary,,FBGN0040532-MONOMER
13316,ORF,primary,,FBGN0038893-MONOMER
13317,water channel activity,primary,,FBGN0034884-MONOMER
13318,ORF,primary,,FBGN0040931-MONOMER
13319,nucleotide binding//protein binding//mRNA binding//nucleic acid binding,primary,,FBGN0040284-MONOMER
13320,double-stranded DNA binding//zinc ion binding,primary,,FBGN0040467-MONOMER
13321,aldehyde reductase activity,primary,610,FBGN0027552-MONOMER
13322,ATPase activity,primary,641,FBGN0015615-MONOMER
13323,G-protein coupled photoreceptor activity,primary,,FBGN0036260-MONOMER
13324,ORF,primary,,FBGN0052600-MONOMER
13325,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0036207-MONOMER
13326,single-stranded DNA binding,primary,,FBGN0016682-MONOMER
13327,chitin binding,primary,,FBGN0036232-MONOMER
13328,microtubule binding//protein binding//actin binding//zinc ion binding,primary,,FBGN0003475-MONOMER
13329,ORF,primary,,FBGN0087021-MONOMER
13330,binding,primary,,FBGN0027542-MONOMER
13331,ORF,primary,,FBGN0051852-MONOMER
13332,ORF,primary,,FBGN0051740-MONOMER
13333,ORF,primary,,FBGN0053333-MONOMER
13334,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0028662-MONOMER
13335,ORF,primary,,FBGN0036717-MONOMER
13336,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//steroid hormone receptor activity//zinc ion binding,primary,,FBGN0035849-MONOMER
13337,ORF,primary,,FBGN0035871-MONOMER
13338,protein binding,primary,,FBGN0016975-MONOMER
13339,ORF,primary,,FBGN0036909-MONOMER
13340,calcium ion binding,primary,,FBGN0025827-MONOMER
13341,tRNA-specific adenosine deaminase activity,primary,,FBGN0028658-MONOMER
13342,ORF,primary,,FBGN0034399-MONOMER
13343,ATP-dependent RNA helicase activity,primary,641,FBGN0003483-MONOMER
13344,ORF,primary,,FBGN0038602-MONOMER
13345,phosphoric monoester hydrolase activity,primary,,FBGN0031048-MONOMER
13346,protein serine/threonine kinase activity,primary,1468,FBGN0010269-MONOMER
13347,ORF,primary,,FBGN0030992-MONOMER
13348,ATP-dependent helicase activity,primary,641,FBGN0039117-MONOMER
13349,hydrolase activity,primary,,FBGN0035987-MONOMER
13350,structural constituent of ribosome,primary,,FBGN0039739-MONOMER
13351,ORF,primary,,FBGN0026309-MONOMER
13352,ORF,primary,,FBGN0052554-MONOMER
13353,zinc ion binding//nucleic acid binding,primary,,FBGN0037618-MONOMER
13354,ORF,primary,,FBGN0085285-MONOMER
13355,protein serine/threonine kinase activity,primary,1451,FBGN0032650-MONOMER
13356,phosphoribosylamine-glycine ligase activity,primary,1351,FBGN0000053-MONOMER
13357,ORF,primary,,FBGN0051464-MONOMER
13358,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,primary,1472,FBGN0039993-MONOMER
13359,"ATPase activity, coupled",primary,641,FBGN0034566-MONOMER
13360,oxygen transporter activity,primary,,FBGN0027657-MONOMER
13361,general RNA polymerase II transcription factor activity,primary,,FBGN0017463-MONOMER
13362,water channel activity,primary,,FBGN0000180-MONOMER
13363,ORF,primary,,FBGN0052038-MONOMER
13364,"G-protein coupled receptor activity//peptide receptor activity, G-protein coupled//neuropeptide receptor activity",primary,,FBGN0085410-MONOMER
13365,ORF,primary,,FBGN0058188-MONOMER
13366,ORF,primary,,FBGN0053223-MONOMER
13367,binding,primary,,FBGN0032640-MONOMER
13368,sodium channel activity,primary,,FBGN0032602-MONOMER
13369,zinc ion binding,primary,,FBGN0250819-MONOMER
13370,ORF,primary,,FBGN0036254-MONOMER
13371,ORF,primary,,FBGN0038289-MONOMER
13372,transporter activity,primary,,FBGN0036886-MONOMER
13373,RNA-directed DNA polymerase activity,primary,1381,FBGN0044506-MONOMER
13374,ORF,primary,,FBGN0030759-MONOMER
13375,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0037248-MONOMER
13376,zinc ion binding//nucleic acid binding,primary,,FBGN0035520-MONOMER
13377,hormone activity//neuropeptide hormone activity,primary,,FBGN0032840-MONOMER
13378,acyl-CoA dehydrogenase activity,primary,248,FBGN0027572-MONOMER
13379,ORF,primary,,FBGN0030691-MONOMER
13380,protein serine/threonine kinase activity,primary,1451,FBGN0003317-MONOMER
13381,hormone activity//protein heterodimerization activity,primary,,FBGN0083224-MONOMER
13382,protein binding,primary,,FBGN0035088-MONOMER
13383,binding//transmembrane transporter activity,primary,,FBGN0031359-MONOMER
13384,single-stranded DNA binding//transcription regulator activity,primary,,FBGN0011481-MONOMER
13385,zinc ion binding//nucleic acid binding,primary,,FBGN0038549-MONOMER
13386,zinc ion binding,primary,,FBGN0034425-MONOMER
13387,structural constituent of ribosome,primary,,FBGN0031357-MONOMER
13388,ORF,primary,,FBGN0039436-MONOMER
13389,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0039779-MONOMER
13390,ORF,primary,,FBGN0054039-MONOMER
13391,ORF,primary,,FBGN0032860-MONOMER
13392,UDP-N-acetylglucosamine diphosphorylase activity,primary,516,FBGN0259749-MONOMER
13393,ORF,primary,,FBGN0033289-MONOMER
13394,ORF,primary,,FBGN0053795-MONOMER
13395,ORF,primary,,FBGN0259704-MONOMER
13396,ORF,primary,,FBGN0053937-MONOMER
13397,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0036317-MONOMER
13398,ORF,primary,,FBGN0051710-MONOMER
13399,oxidoreductase activity//transition metal ion binding,primary,,FBGN0033158-MONOMER
13400,amine receptor activity//G-protein coupled receptor activity//rhodopsin-like receptor activity,primary,,FBGN0029909-MONOMER
13401,ORF,primary,,FBGN0035251-MONOMER
13402,zinc ion binding,primary,,FBGN0032978-MONOMER
13403,ORF,primary,,FBGN0040942-MONOMER
13404,structural constituent of chitin-based cuticle,primary,,FBGN0035737-MONOMER
13405,sequence-specific DNA binding//transcription factor activity//protein dimerization activity,primary,,FBGN0032202-MONOMER
13406,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0052201-MONOMER
13407,ORF,primary,,FBGN0029986-MONOMER
13408,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0020642-MONOMER
13409,"ATPase activity, coupled",primary,641,FBGN0004512-MONOMER
13410,protein serine/threonine kinase activity,primary,1451,FBGN0017581-MONOMER
13411,adenosylhomocysteinase activity,primary,444,FBGN0015011-MONOMER
13412,ORF,primary,,FBGN0010894-MONOMER
13413,axon guidance receptor activity//serine-type endopeptidase inhibitor activity//semaphorin receptor activity,primary,,FBGN0025741-MONOMER
13414,glucuronosyltransferase activity,primary,641,FBGN0031887-MONOMER
13415,ORF,primary,,FBGN0058336-MONOMER
13416,glutathione peroxidase activity,primary,650,FBGN0010044-MONOMER
13417,ORF,primary,,FBGN0050395-MONOMER
13418,proprotein convertase 2 activator activity,primary,,FBGN0041707-MONOMER
13419,ORF,primary,,FBGN0085290-MONOMER
13420,protein binding//translation regulator activity//RNA binding,primary,,FBGN0000392-MONOMER
13421,thiol-disulfide exchange intermediate activity,primary,,FBGN0011761-MONOMER
13422,ORF,primary,,FBGN0020269-MONOMER
13423,ORF,primary,,FBGN0014464-MONOMER
13424,ORF,primary,,FBGN0037456-MONOMER
13425,ORF,primary,,FBGN0046823-MONOMER
13426,nutrient reservoir activity,primary,,FBGN0031957-MONOMER
13427,Rab GTPase activator activity,primary,,FBGN0035879-MONOMER
13428,ethanolamine-phosphate cytidylyltransferase activity,primary,554,FBGN0032482-MONOMER
13429,ORF,primary,,FBGN0003048-MONOMER
13430,ORF,primary,,FBGN0085625-MONOMER
13431,structural constituent of ribosome,primary,,FBGN0031035-MONOMER
13432,oxidoreductase activity,primary,,FBGN0052655-MONOMER
13433,ORF,primary,,FBGN0052939-MONOMER
13434,diuretic hormone receptor activity,primary,,FBGN0015710-MONOMER
13435,ORF,primary,,FBGN0040778-MONOMER
13436,ORF,primary,,FBGN0036480-MONOMER
13437,ORF,primary,,FBGN0054053-MONOMER
13438,ORF,primary,,FBGN0034804-MONOMER
13439,ORF,primary,,FBGN0019925-MONOMER
13440,ORF,primary,,FBGN0032166-MONOMER
13441,structural constituent of chorion,primary,,FBGN0000356-MONOMER
13442,ORF,primary,,FBGN0259732-MONOMER
13443,ORF,primary,,FBGN0085541-MONOMER
13444,ORF,primary,,FBGN0037313-MONOMER
13445,sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity//zinc ion binding,primary,,FBGN0003896-MONOMER
13446,ORF,primary,,FBGN0085694-MONOMER
13447,ORF,primary,,FBGN0052816-MONOMER
13448,ORF,primary,,FBGN0032595-MONOMER
13449,protein binding//zinc ion binding,primary,,FBGN0035024-MONOMER
13450,chymotrypsin activity,primary,162,FBGN0038479-MONOMER
13451,structural constituent of ribosome,primary,,FBGN0029785-MONOMER
13452,ARF guanyl-nucleotide exchange factor activity,primary,,FBGN0086779-MONOMER
13453,pyridoxamine-phosphate oxidase activity,primary,657,FBGN0051472-MONOMER
13454,ORF,primary,,FBGN0037122-MONOMER
13455,ORF,primary,,FBGN0028919-MONOMER
13456,zinc ion binding//nucleic acid binding,primary,,FBGN0050443-MONOMER
13457,ORF,primary,,FBGN0038421-MONOMER
13458,actin binding//metal ion binding,primary,,FBGN0004873-MONOMER
13459,ORF,primary,,FBGN0032021-MONOMER
13460,ORF,primary,,FBGN0085502-MONOMER
13461,triacylglycerol lipase activity,primary,309,FBGN0085477-MONOMER
13462,ORF,primary,,FBGN0030876-MONOMER
13463,ORF,primary,,FBGN0035436-MONOMER
13464,protein serine/threonine kinase activity,primary,1451,FBGN0259220-MONOMER
13465,zinc ion binding//nucleic acid binding,primary,,FBGN0058313-MONOMER
13466,ORF,primary,,FBGN0036606-MONOMER
13467,DNA binding,primary,1384,FBGN0012066-MONOMER
13468,ORF,primary,,FBGN0014368-MONOMER
13469,ORF,primary,,FBGN0028708-MONOMER
13470,olfactory receptor activity//odorant binding,primary,,FBGN0037685-MONOMER
13471,calcium-independent phospholipase A2 activity,primary,218,FBGN0036184-MONOMER
13472,zinc ion binding//nucleic acid binding,primary,,FBGN0033993-MONOMER
13473,ORF,primary,,FBGN0029850-MONOMER
13474,ORF,primary,,FBGN0085537-MONOMER
13475,ORF,primary,,FBGN0035403-MONOMER
13476,exonuclease activity//nucleic acid binding,primary,,FBGN0036405-MONOMER
13477,ORF,primary,,FBGN0052061-MONOMER
13478,ORF,primary,,FBGN0040725-MONOMER
13479,ORF,primary,,FBGN0037783-MONOMER
13480,ORF,primary,,FBGN0034816-MONOMER
13481,ORF,primary,,FBGN0053474-MONOMER
13482,protein binding,primary,,FBGN0036804-MONOMER
13483,ORF,primary,,FBGN0031135-MONOMER
13484,ORF,primary,,FBGN0031801-MONOMER
13485,catalytic activity,primary,,FBGN0032923-MONOMER
13486,ORF,primary,,FBGN0036121-MONOMER
13487,isovaleryl-CoA dehydrogenase activity,primary,308,FBGN0035911-MONOMER
13488,structural constituent of chorion,primary,,FBGN0000358-MONOMER
13489,epoxide hydrolase activity,primary,1163,FBGN0010053-MONOMER
13490,ORF,primary,,FBGN0037231-MONOMER
13491,carboxylesterase activity,primary,1121,FBGN0015575-MONOMER
13492,ORF,primary,,FBGN0037320-MONOMER
13493,phospholipase A2 activity,primary,218,FBGN0052741-MONOMER
13494,structural constituent of ribosome,primary,,FBGN0035374-MONOMER
13495,ORF,primary,,FBGN0038241-MONOMER
13496,ORF,primary,,FBGN0031611-MONOMER
13497,ORF,primary,,FBGN0032704-MONOMER
13498,trehalose-phosphatase activity,primary,581,FBGN0031907-MONOMER
13499,ORF,primary,,FBGN0029951-MONOMER
13500,protein binding//diacylglycerol binding,primary,,FBGN0029778-MONOMER
13501,zinc ion binding//nucleic acid binding,primary,,FBGN0000307-MONOMER
13502,DNA binding,primary,,FBGN0033081-MONOMER
13503,ORF,primary,,FBGN0031954-MONOMER
13504,ORF,primary,,FBGN0030820-MONOMER
13505,ORF,primary,,FBGN0038071-MONOMER
13506,ORF,primary,,FBGN0034849-MONOMER
13507,serine-type endopeptidase inhibitor activity,primary,,FBGN0002578-MONOMER
13508,olfactory receptor activity//odorant binding,primary,,FBGN0041624-MONOMER
13509,carbonate dehydratase activity,primary,168,FBGN0027844-MONOMER
13510,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0035007-MONOMER
13511,ORF,primary,,FBGN0032337-MONOMER
13512,sugar binding//Gram-negative bacterial binding//galactose binding//receptor activity,primary,,FBGN0016675-MONOMER
13513,ORF,primary,,FBGN0259707-MONOMER
13514,ATPase activity,primary,641,FBGN0015391-MONOMER
13515,ORF,primary,,FBGN0023515-MONOMER
13516,IMP dehydrogenase activity,primary,1162,FBGN0003204-MONOMER
13517,ORF,primary,,FBGN0051523-MONOMER
